"","max_words","bacht_size","epochs","accuracy"
"1",2000,32,1,0.772484421730042
"2",2000,32,2,0.800979495048523
"3",2000,32,3,0.800979495048523
"4",2000,32,4,0.801869988441467
"5",2000,32,5,0.795191466808319
"6",2000,32,6,0.793855726718903
"7",2000,32,7,0.797417640686035
"8",2000,32,8,0.783615291118622
"9",2000,32,9,0.796972393989563
"10",2000,32,10,0.796081900596619
"11",2000,64,1,0.793855726718903
"12",2000,64,2,0.792074799537659
"13",2000,64,3,0.791629552841187
"14",2000,64,4,0.792965292930603
"15",2000,64,5,0.795191466808319
"16",2000,64,6,0.794300973415375
"17",2000,64,7,0.792520046234131
"18",2000,64,8,0.788958132266998
"19",2000,64,9,0.787622451782227
"20",2000,64,10,0.788067698478699
