"","max_words","bacht_size","epochs","accuracy"
"1",5000,32,1,0.786731958389282
"2",5000,32,2,0.809884250164032
"3",5000,32,3,0.808993756771088
"4",5000,32,4,0.798308074474335
"5",5000,32,5,0.806322336196899
"6",5000,32,6,0.795191466808319
"7",5000,32,7,0.79341048002243
"8",5000,32,8,0.798308074474335
"9",5000,32,9,0.791184306144714
"10",5000,32,10,0.790739119052887
"11",5000,64,1,0.793855726718903
"12",5000,64,2,0.794746220111847
"13",5000,64,3,0.790739119052887
"14",5000,64,4,0.791629552841187
"15",5000,64,5,0.792520046234131
"16",5000,64,6,0.791629552841187
"17",5000,64,7,0.790293872356415
"18",5000,64,8,0.78940337896347
"19",5000,64,9,0.788512885570526
"20",5000,64,10,0.78628671169281
