"","max_words","bacht_size","epochs","accuracy"
"1",4000,32,1,0.780053436756134
"2",4000,32,2,0.815672278404236
"3",4000,32,3,0.806767582893372
"4",4000,32,4,0.800089061260223
"5",4000,32,5,0.800979495048523
"6",4000,32,6,0.798308074474335
"7",4000,32,7,0.794746220111847
"8",4000,32,8,0.794300973415375
"9",4000,32,9,0.79341048002243
"10",4000,32,10,0.797862887382507
"11",4000,64,1,0.797417640686035
"12",4000,64,2,0.798308074474335
"13",4000,64,3,0.796972393989563
"14",4000,64,4,0.794746220111847
"15",4000,64,5,0.797417640686035
"16",4000,64,6,0.798308074474335
"17",4000,64,7,0.794300973415375
"18",4000,64,8,0.792965292930603
"19",4000,64,9,0.787622451782227
"20",4000,64,10,0.788067698478699
